id;apellidos_nombre;pais;especialidad
J20853;LOPETEGUI POCH, AATIKA;POR;400m(M)
KB032274;GARCIA PLIEGO ESTALL, ABDELKABIR;FRA;400m(H)
ZH650632;VARONA RISUENO, ABDELLATIF;GBR;100m(H)
Y68959;ORDONO BROCAL, ABDENAJI;ESP;1500m(H)
ZR232501;URGELLES OLIVER, ABDERRAHAMAN;BRA;400m(H)
HA541246;MECERREYES PRICE, ABDOU KARIM;CHI;100m(H)
US314164;ROLLE BESCOS, ABDOU LAHAT;ESP;10000m(H)
WN693675;GOENAGA BENZO, ABENCIO;ALE;800m(H)
LZ109053;POBES OULGHAZI, ABILIO;ESP;10000m(H)
XK081259;CABESTANY KHALID, ABRAHAM JESUS;ESP;100m(H)
FT006455;LEMES GURRUTXAGA, ELISA DOLORES;ITA;400 m(M)
T70454;DIAZ DE GARAYO ARNEDILLO, ELIZETE;BUL;800m(M)
